Fiscal Year,Individual Income Taxes,Corporation Income Taxes,Social Insurance and Retirement Receipts Total,Social Insurance and Retirement Receipts On - Budget,Social Insurance and Retirement Receipts Off - Budget,Excise Taxes,Other,Total Receipts Total,Total Receipts On - Budget,Total Receipts Off - Budget
2005,43.1,12.9,36.9,10.1,26.8,3.4,3.8,100,73.2,26.8
2006,43.4,14.7,34.8,9.5,25.3,3.1,4.0,100,74.7,25.3
2007,45.3,14.4,33.9,9.1,24.7,2.5,3.9,100,75.3,24.7
2008,45.4,12.1,35.7,9.6,26.1,2.7,4.2,100,73.9,26.1
2009,43.5,6.6,42.3,11.3,31.1,3.0,4.7,100,68.9,31.1
2010,41.5,8.9,40.0,10.8,29.2,3.1,6.5,100,70.8,29.2
2011,47.4,7.9,35.5,11.0,24.6,3.1,6.1,100,75.4,24.6
2012,46.2,9.9,34.5,11.3,23.2,3.2,6.2,100,76.8,23.2
2013,47.4,9.9,34.2,9.9,24.3,3.0,5.5,100,75.7,24.3
2014,46.2,10.6,33.9,9.5,24.3,3.1,6.3,100,75.7,24.3
2015,47.4,10.6,32.8,9.1,23.7,3.0,6.2,100,76.3,23.7
2016,47.3,9.2,34.1,9.3,24.8,2.9,6.5,100,75.2,24.8
2017,47.9,9.0,35.0,9.4,25.7,2.5,5.6,100,74.3,25.7
2018,50.6,6.1,35.2,9.5,25.7,2.9,5.3,100,74.3,25.7
2019,49.6,6.6,35.9,9.5,26.4,2.9,5.0,100,73.6,26.4
2020,47.0,6.2,38.3,10.1,28.2,2.5,6.0,100,71.8,28.2
2021,50.5,9.2,32.5,8.9,23.5,1.9,6.0,100,76.5,23.5
2022,53.7,8.7,30.3,8.5,21.8,1.8,5.5,100,78.2,21.8
2023,49.0,9.4,36.4,9.5,26.9,1.7,3.5,100,73.1,26.9
2024,49.3,10.8,34.7,9.1,25.6,2.1,3.1,100,74.4,25.6
