Fiscal Year,Individual Income Taxes,Corporation Income Taxes,Social Insurance and Retirement Receipts Total,Social Insurance and Retirement Receipts On - Budget,Social Insurance and Retirement Receipts Off - Budget,Excise Taxes,Other,Total Receipts Total,Total Receipts On - Budget,Total Receipts Off - Budget
2003,793699.0,131778.0,712978.0,189136.0,523842,67524.0,76335.0,1782314.0,1258472.0,523842
2004,808959.0,189371.0,733407.0,198662.0,534745,69855.0,78522.0,1880114.0,1345369.0,534745
2005,927222.0,278282.0,794125.0,216649.0,577476,73094.0,80888.0,2153611.0,1576135.0,577476
2006,1043908.0,353915.0,837821.0,229439.0,608382,73961.0,97264.0,2406869.0,1798487.0,608382
2007,1163472.0,370243.0,869607.0,234518.0,635089,65069.0,99594.0,2567985.0,1932896.0,635089
2008,1145747.0,304346.0,900155.0,242109.0,658046,67334.0,106409.0,2523991.0,1865945.0,658046
2009,915308.0,138229.0,890917.0,236908.0,654009,62483.0,98052.0,2104989.0,1450980.0,654009
2010,898549.0,191437.0,864814.0,233127.0,631687,66909.0,140997.0,2162706.0,1531019.0,631687
2011,1091473.0,181085.0,818792.0,253004.0,565788,72381.0,139735.0,2303466.0,1737678.0,565788
2012,1132206.0,242289.0,845314.0,275813.0,569501,79061.0,151120.0,2449990.0,1880489.0,569501
2013,1316405.0,273506.0,947820.0,274546.0,673274,84007.0,153368.0,2775106.0,2101832.0,673274
2014,1394568.0,320731.0,1023458.0,287893.0,735565,93368.0,189366.0,3021491.0,2285926.0,735565
2015,1540802.0,343797.0,1065257.0,294885.0,770372,98279.0,201755.0,3249890.0,2479518.0,770372
2016,1546075.0,299571.0,1115065.0,304885.0,810180,95026.0,212228.0,3267965.0,2457785.0,810180
2017,1587120.0,297048.0,1161897.0,311279.0,850618,83823.0,186296.0,3316184.0,2465566.0,850618
2018,1683538.0,204733.0,1170701.0,315954.0,854747,94986.0,175949.0,3329907.0,2475160.0,854747
2019,1717857.0,230245.0,1243113.0,328810.0,914303,98914.0,173235.0,3463364.0,2549061.0,914303
2020,1608663.0,211845.0,1309955.0,344527.0,965428,86780.0,203921.0,3421164.0,2455736.0,965428
2021,2044377.0,371831.0,1314088.0,361765.0,952323,75274.0,241541.0,4047111.0,3094788.0,952323
2022,2632146.0,424865.0,1483527.0,417552.0,1065975,87728.0,269073.0,4897339.0,3831364.0,1065975
2023,2176481.0,419584.0,1614456.0,420701.0,1193755,75802.0,154625.0,4440948.0,3247193.0,1193755
2024,2426067.0,529867.0,1708926.0,449044.0,1259882,101436.0,153587.0,4919883.0,3660001.0,1259882
